Date : 2023-07-30 23:27:07
Directory : c:\Users\r3dux\Repositories\project-nexum
Total : 109 files,  2993 codes, 196 comments, 513 blanks, all 3702 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories                                                 |         36 |     -2,776 |         -1 |       -266 |     -3,043 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum                                   |         36 |     -2,776 |         -1 |       -266 |     -3,043 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum (Files)                           |          2 |        -20 |         -1 |         -3 |        -24 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src                               |         34 |     -2,756 |          0 |       -263 |     -3,019 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\lib                           |         16 |       -712 |          0 |        -80 |       -792 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components                |         16 |       -712 |          0 |        -80 |       -792 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes                        |         18 |     -2,044 |          0 |       -183 |     -2,227 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes (Files)                |          2 |       -367 |          0 |        -31 |       -398 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\about                  |          1 |       -349 |          0 |        -36 |       -385 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\ai                     |          1 |         -6 |          0 |         -2 |         -8 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\login                  |          1 |        -90 |          0 |         -4 |        -94 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my                     |          6 |       -440 |          0 |        -31 |       -471 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\dashboard           |          1 |       -140 |          0 |        -11 |       -151 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\pages               |          1 |        -19 |          0 |         -2 |        -21 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\settings            |          4 |       -281 |          0 |        -18 |       -299 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\settings (Files)    |          1 |        -37 |          0 |         -2 |        -39 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\account    |          1 |        -99 |          0 |         -6 |       -105 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\profile    |          1 |       -106 |          0 |         -8 |       -114 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\security   |          1 |        -39 |          0 |         -2 |        -41 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\pages                  |          3 |       -522 |          0 |        -53 |       -575 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\pages\[pageId]         |          2 |       -446 |          0 |        -45 |       -491 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\pages\[pageId] (Files) |          1 |       -298 |          0 |        -33 |       -331 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\pages\[pageId]\edit    |          1 |       -148 |          0 |        -12 |       -160 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\pages\new              |          1 |        -76 |          0 |         -8 |        -84 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\people                 |          2 |       -186 |          0 |        -19 |       -205 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\people (Files)         |          1 |        -43 |          0 |         -5 |        -48 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\people\[profileId]     |          1 |       -143 |          0 |        -14 |       -157 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\register               |          1 |        -41 |          0 |         -5 |        -46 |
| ..\..\..\..\mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\reset-password         |          1 |        -43 |          0 |         -2 |        -45 |
| src                                                                                        |         61 |      3,768 |        188 |        464 |      4,420 |
| src (Files)                                                                                |          3 |        119 |         40 |         26 |        185 |
| src\lib                                                                                    |         20 |        913 |         47 |        111 |      1,071 |
| src\lib (Files)                                                                            |          3 |        204 |          1 |         29 |        234 |
| src\lib\components                                                                         |         17 |        709 |         46 |         82 |        837 |
| src\routes                                                                                 |         38 |      2,736 |        101 |        327 |      3,164 |
| src\routes (Files)                                                                         |          4 |        401 |         20 |         39 |        460 |
| src\routes\about                                                                           |          1 |        342 |          4 |         35 |        381 |
| src\routes\ai                                                                              |          1 |          6 |          0 |          2 |          8 |
| src\routes\api                                                                             |          2 |         32 |          6 |          9 |         47 |
| src\routes\api\chat                                                                        |          1 |         19 |          5 |          5 |         29 |
| src\routes\api\dump                                                                        |          1 |         13 |          1 |          4 |         18 |
| src\routes\login                                                                           |          2 |         98 |         20 |          9 |        127 |
| src\routes\logout                                                                          |          1 |          6 |          0 |          3 |          9 |
| src\routes\my                                                                              |         13 |        732 |         22 |         86 |        840 |
| src\routes\my\dashboard                                                                    |          2 |        258 |         20 |         33 |        311 |
| src\routes\my\pages                                                                        |          2 |         57 |          0 |          8 |         65 |
| src\routes\my\settings                                                                     |          9 |        417 |          2 |         45 |        464 |
| src\routes\my\settings (Files)                                                             |          3 |         51 |          0 |          6 |         57 |
| src\routes\my\settings\account                                                             |          2 |        155 |          0 |         14 |        169 |
| src\routes\my\settings\profile                                                             |          2 |        146 |          1 |         17 |        164 |
| src\routes\my\settings\security                                                            |          2 |         65 |          1 |          8 |         74 |
| src\routes\pages                                                                           |          6 |        678 |         22 |         89 |        789 |
| src\routes\pages\[pageId]                                                                  |          4 |        569 |         19 |         72 |        660 |
| src\routes\pages\[pageId] (Files)                                                          |          2 |        366 |         16 |         49 |        431 |
| src\routes\pages\[pageId]\edit                                                             |          2 |        203 |          3 |         23 |        229 |
| src\routes\pages\new                                                                       |          2 |        109 |          3 |         17 |        129 |
| src\routes\people                                                                          |          4 |        319 |          7 |         39 |        365 |
| src\routes\people (Files)                                                                  |          2 |         83 |          1 |         10 |         94 |
| src\routes\people\[profileId]                                                              |          2 |        236 |          6 |         29 |        271 |
| src\routes\register                                                                        |          2 |         64 |          0 |         11 |         75 |
| src\routes\reset-password                                                                  |          2 |         58 |          0 |          5 |         63 |
| tests                                                                                      |          1 |          5 |          0 |          2 |          7 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                   | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| \mnt\c\Users\r3dux\Repositories\project-nexum\.prettierignore                              | Ignore     |        -11 |         -1 |         -2 |        -14 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\.prettierrc                                  | json       |         -9 |          0 |         -1 |        -10 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\Badge.svelte              | Svelte     |        -17 |          0 |         -3 |        -20 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\ChatGPT.svelte            | Svelte     |        -98 |          0 |         -9 |       -107 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\DashboardHeader.svelte    | Svelte     |        -60 |          0 |         -8 |        -68 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\FeatureCard.svelte        | Svelte     |        -23 |          0 |         -3 |        -26 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\Footer.svelte             | Svelte     |        -51 |          0 |         -1 |        -52 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\Hero.svelte               | Svelte     |        -25 |          0 |         -3 |        -28 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\Input.svelte              | Svelte     |        -36 |          0 |         -3 |        -39 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\Modal.svelte              | Svelte     |        -21 |          0 |         -3 |        -24 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\MyPageItem.svelte         | Svelte     |        -87 |          0 |        -12 |        -99 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\PageCard.svelte           | Svelte     |        -75 |          0 |         -8 |        -83 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\PersonCard.svelte         | Svelte     |        -35 |          0 |         -2 |        -37 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\Shortcuts.svelte          | Svelte     |        -27 |          0 |         -6 |        -33 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\Stats.svelte              | Svelte     |        -39 |          0 |         -5 |        -44 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\TextArea.svelte           | Svelte     |        -34 |          0 |         -5 |        -39 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\ToolTipButton.svelte      | Svelte     |        -13 |          0 |         -2 |        -15 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\lib\components\WYSIWYG.svelte            | Svelte     |        -71 |          0 |         -7 |        -78 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\+layout.svelte                    | Svelte     |       -194 |          0 |        -10 |       -204 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\+page.svelte                      | Svelte     |       -173 |          0 |        -21 |       -194 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\about\+page.svelte                | Svelte     |       -349 |          0 |        -36 |       -385 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\ai\+page.svelte                   | Svelte     |         -6 |          0 |         -2 |         -8 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\login\+page.svelte                | Svelte     |        -90 |          0 |         -4 |        -94 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\dashboard\+page.svelte         | Svelte     |       -140 |          0 |        -11 |       -151 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\pages\+page.svelte             | Svelte     |        -19 |          0 |         -2 |        -21 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\+layout.svelte        | Svelte     |        -37 |          0 |         -2 |        -39 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\account\+page.svelte  | Svelte     |        -99 |          0 |         -6 |       -105 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\profile\+page.svelte  | Svelte     |       -106 |          0 |         -8 |       -114 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\security\+page.svelte | Svelte     |        -39 |          0 |         -2 |        -41 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\pages\[pageId]\+page.svelte       | Svelte     |       -298 |          0 |        -33 |       -331 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\pages\[pageId]\edit\+page.svelte  | Svelte     |       -148 |          0 |        -12 |       -160 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\pages\new\+page.svelte            | Svelte     |        -76 |          0 |         -8 |        -84 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\people\+page.svelte               | Svelte     |        -43 |          0 |         -5 |        -48 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\people\[profileId]\+page.svelte   | Svelte     |       -143 |          0 |        -14 |       -157 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\register\+page.svelte             | Svelte     |        -41 |          0 |         -5 |        -46 |
| \mnt\c\Users\r3dux\Repositories\project-nexum\src\routes\reset-password\+page.svelte       | Svelte     |        -43 |          0 |         -2 |        -45 |
| c:\Users\r3dux\Repositories\project-nexum\.eslintrc.cjs                                    | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\r3dux\Repositories\project-nexum\.prettierignore                                  | Ignore     |         11 |          1 |          2 |         14 |
| c:\Users\r3dux\Repositories\project-nexum\.prettierrc                                      | JSON       |          9 |          0 |          1 |         10 |
| c:\Users\r3dux\Repositories\project-nexum\README.md                                        | Markdown   |         34 |          0 |         16 |         50 |
| c:\Users\r3dux\Repositories\project-nexum\package.json                                     | JSON       |         46 |          0 |          1 |         47 |
| c:\Users\r3dux\Repositories\project-nexum\playwright.config.js                             | JavaScript |          9 |          1 |          2 |         12 |
| c:\Users\r3dux\Repositories\project-nexum\pnpm-lock.yaml                                   | YAML       |      1,802 |          0 |        276 |      2,078 |
| c:\Users\r3dux\Repositories\project-nexum\postcss.config.cjs                               | JavaScript |          9 |          2 |          3 |         14 |
| c:\Users\r3dux\Repositories\project-nexum\src\app.css                                      | CSS        |         75 |         15 |         18 |        108 |
| c:\Users\r3dux\Repositories\project-nexum\src\app.html                                     | HTML       |         16 |         24 |          1 |         41 |
| c:\Users\r3dux\Repositories\project-nexum\src\hooks.server.js                              | JavaScript |         28 |          1 |          7 |         36 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\Badge.svelte                  | Svelte     |         17 |          0 |          3 |         20 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\ChatGPT.svelte                | Svelte     |         60 |         40 |          7 |        107 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\DashboardHeader.svelte        | Svelte     |         63 |          0 |         10 |         73 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\FeatureCard.svelte            | Svelte     |         17 |          6 |          3 |         26 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\Footer.svelte                 | Svelte     |         51 |          0 |          1 |         52 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\Hero.svelte                   | Svelte     |         25 |          0 |          3 |         28 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\Input.svelte                  | Svelte     |         36 |          0 |          3 |         39 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\Modal.svelte                  | Svelte     |         21 |          0 |          3 |         24 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\MyPageItem.svelte             | Svelte     |         87 |          0 |         12 |         99 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\PageCard.svelte               | Svelte     |         75 |          0 |          8 |         83 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\PersonCard.svelte             | Svelte     |         35 |          0 |          2 |         37 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\Shortcuts.svelte              | Svelte     |         27 |          0 |          6 |         33 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\Stats.svelte                  | Svelte     |         47 |          0 |          6 |         53 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\TextArea.svelte               | Svelte     |         34 |          0 |          5 |         39 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\ToolTipButton.svelte          | Svelte     |         13 |          0 |          2 |         15 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\WYSIWYG.svelte                | Svelte     |         71 |          0 |          7 |         78 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\components\index.js                      | JavaScript |         30 |          0 |          1 |         31 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\schemas.js                               | JavaScript |        171 |          1 |         20 |        192 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\store.js                                 | JavaScript |          4 |          0 |          3 |          7 |
| c:\Users\r3dux\Repositories\project-nexum\src\lib\utils.js                                 | JavaScript |         29 |          0 |          6 |         35 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\+layout.server.js                     | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\+layout.svelte                        | Svelte     |        191 |          3 |         10 |        204 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\+page.server.js                       | JavaScript |         44 |          0 |          6 |         50 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\+page.svelte                          | Svelte     |        156 |         17 |         21 |        194 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\about\+page.svelte                    | Svelte     |        342 |          4 |         35 |        381 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\ai\+page.svelte                       | Svelte     |          6 |          0 |          2 |          8 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\api\chat\+server.js                   | JavaScript |         19 |          5 |          5 |         29 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\api\dump\+server.js                   | JavaScript |         13 |          1 |          4 |         18 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\login\+page.server.js                 | JavaScript |         27 |          1 |          5 |         33 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\login\+page.svelte                    | Svelte     |         71 |         19 |          4 |         94 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\logout\+server.js                     | JavaScript |          6 |          0 |          3 |          9 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\dashboard\+page.server.js          | JavaScript |         52 |          3 |          7 |         62 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\dashboard\+page.svelte             | Svelte     |        206 |         17 |         26 |        249 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\pages\+page.server.js              | JavaScript |         38 |          0 |          6 |         44 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\pages\+page.svelte                 | Svelte     |         19 |          0 |          2 |         21 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\+layout.server.js         | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\+layout.svelte            | Svelte     |         37 |          0 |          2 |         39 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\+page.server.js           | JavaScript |          8 |          0 |          2 |         10 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\account\+page.server.js   | JavaScript |         56 |          0 |          8 |         64 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\account\+page.svelte      | Svelte     |         99 |          0 |          6 |        105 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\profile\+page.server.js   | JavaScript |         40 |          1 |          9 |         50 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\profile\+page.svelte      | Svelte     |        106 |          0 |          8 |        114 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\security\+page.server.js  | JavaScript |         26 |          1 |          6 |         33 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\my\settings\security\+page.svelte     | Svelte     |         39 |          0 |          2 |         41 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\pages\[pageId]\+page.server.js        | JavaScript |         84 |          0 |         16 |        100 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\pages\[pageId]\+page.svelte           | Svelte     |        282 |         16 |         33 |        331 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\pages\[pageId]\edit\+page.server.js   | JavaScript |         57 |          1 |         11 |         69 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\pages\[pageId]\edit\+page.svelte      | Svelte     |        146 |          2 |         12 |        160 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\pages\new\+page.server.js             | JavaScript |         35 |          1 |          9 |         45 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\pages\new\+page.svelte                | Svelte     |         74 |          2 |          8 |         84 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\people\+page.server.js                | JavaScript |         41 |          0 |          5 |         46 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\people\+page.svelte                   | Svelte     |         42 |          1 |          5 |         48 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\people\[profileId]\+page.server.js    | JavaScript |         99 |          0 |         15 |        114 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\people\[profileId]\+page.svelte       | Svelte     |        137 |          6 |         14 |        157 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\register\+page.server.js              | JavaScript |         23 |          0 |          6 |         29 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\register\+page.svelte                 | Svelte     |         41 |          0 |          5 |         46 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\reset-password\+page.server.js        | JavaScript |         15 |          0 |          3 |         18 |
| c:\Users\r3dux\Repositories\project-nexum\src\routes\reset-password\+page.svelte           | Svelte     |         43 |          0 |          2 |         45 |
| c:\Users\r3dux\Repositories\project-nexum\svelte.config.js                                 | JavaScript |         13 |          4 |          4 |         21 |
| c:\Users\r3dux\Repositories\project-nexum\tailwind.config.cjs                              | JavaScript |         41 |          1 |          5 |         47 |
| c:\Users\r3dux\Repositories\project-nexum\tests\test.js                                    | JavaScript |          5 |          0 |          2 |          7 |
| c:\Users\r3dux\Repositories\project-nexum\vite.config.js                                   | JavaScript |          8 |          0 |          2 |         10 |
| Total                                                                                      |            |      2,993 |        196 |        513 |      3,702 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
